analyte_name,cycle_first,cycle_last,cycle_count,matrix,unit,original_variable_names,cas_rn,pubchem_status,chemical_class,chemical_subclass,classification_source
URX14D,2005-2006,2011-2012,4,urine,,URX14D,,not_found,,,
URX1TB,2005-2006,2009-2010,3,urine,,URX1TB,,not_found,,,
URX24D,2007-2008,2017-2018,6,urine,,URX24D,,not_found,,,
URX25T,2007-2008,2009-2010,2,urine,,URX25T,,not_found,,,
URX3TB,2005-2006,2009-2010,3,urine,,URX3TB,,not_found,,,
URX4FP,2007-2008,2017-2018,6,urine,,URX4FP,,not_found,,,
URX4TO,2005-2006,2009-2010,3,urine,,URX4TO,,not_found,,,
URXBP3,2005-2006,2011-2012,4,urine,,URXBP3,,not_found,,,
URXBPH,2005-2006,2011-2012,4,urine,,URXBPH,,not_found,,,
URXBUP,2005-2006,2011-2012,4,urine,,URXBUP,,not_found,,,
URXCB3,2007-2008,2009-2010,2,urine,,URXCB3,,not_found,,,
URXCPM,2007-2008,2017-2018,5,urine,,URXCPM,,not_found,,,
URXDAZ,2005-2006,2009-2010,3,urine,,URXDAZ,,not_found,,,
URXDCB,2005-2006,2011-2012,4,urine,,URXDCB,,not_found,,,
URXDMA,2005-2006,2009-2010,3,urine,,URXDMA,,not_found,,,
URXEPB,2005-2006,2011-2012,4,urine,,URXEPB,,not_found,,,
URXEQU,2005-2006,2009-2010,3,urine,,URXEQU,,not_found,,,
URXETD,2005-2006,2009-2010,3,urine,,URXETD,,not_found,,,
URXETL,2005-2006,2009-2010,3,urine,,URXETL,,not_found,,,
URXGNS,2005-2006,2009-2010,3,urine,,URXGNS,,not_found,,,
URXMAL,2007-2008,2017-2018,4,urine,,URXMAL,,not_found,,,
URXMPB,2005-2006,2011-2012,4,urine,,URXMPB,,not_found,,,
URXOP1,2005-2006,2017-2018,5,urine,,URXOP1,,not_found,,,
URXOP2,2005-2006,2017-2018,5,urine,,URXOP2,,not_found,,,
URXOP3,2005-2006,2017-2018,5,urine,,URXOP3,,not_found,,,
URXOP4,2005-2006,2017-2018,5,urine,,URXOP4,,not_found,,,
URXOP5,2005-2006,2017-2018,5,urine,,URXOP5,,not_found,,,
URXOP6,2005-2006,2017-2018,5,urine,,URXOP6,,not_found,,,
URXOPM,2007-2008,2017-2018,6,urine,,URXOPM,,not_found,,,
URXOPP,2005-2006,2009-2010,3,urine,,URXOPP,,not_found,,,
URXOXY,2007-2008,2017-2018,6,urine,,URXOXY,,not_found,,,
URXPAR,2007-2008,2017-2018,6,urine,,URXPAR,,not_found,,,
URXPPB,2005-2006,2011-2012,4,urine,,URXPPB,,not_found,,,
URXTCC,2007-2008,2017-2018,6,urine,,URXTCC,,not_found,,,
URXTRS,2005-2006,2011-2012,4,urine,,URXTRS,,not_found,,,
URXUCR,2005-2006,2011-2012,15,urine,,URXUCR,,not_found,,,
